domain_name,unlocked,creative_count,bare_kind,best_url,screenshot_s3,unlocked_params
unir3oedsl.com,True,3,mixed,https://unir3oedsl.com/?pEl8X=ajtan_Haq,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/unir3oedsl.com/53c7e191-321e-42cb-967d-ce262f9dc555/screenshot/variant-pEl8X-ajtan_Haq.png,pEl8X=ajtan_Haq|pEl8X=MI1_HT2|pEl8X=MI2_HT2|pEl8X=MI2_Haq
veubhsfcdjk.com,True,4,mixed,https://veubhsfcdjk.com/?pEl8X=ajtan_Haq,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/veubhsfcdjk.com/5d56587f-76f0-4239-9667-5b0538675e19/screenshot/variant-pEl8X-ajtan_Haq.png,pEl8X=ajtan_Haq|pEl8X=MI1_HT2|pEl8X=MI2_HT2|pEl8X=MI2_Haq
vrubhedjcks.com,True,2,mixed,https://vrubhedjcks.com/?pEl8X=ajtan_Haq,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/vrubhedjcks.com/16704f99-d918-47a2-bb83-ddd3d1f82ffb/screenshot/variant-pEl8X-ajtan_Haq.png,pEl8X=ajtan_Haq|pEl8X=MI1_HT2|pEl8X=MI2_HT2|pEl8X=MI2_Haq
vybucidknlds3.com,True,1,scam,https://vybucidknlds3.com/?ad_name=ind37,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/vybucidknlds3.com/255ed8de-7a03-4320-8890-fd375fbf1629/screenshot/variant-ad_name-ind37.png,ad_name=ind37|pEl8X=tupkapday|pEl8X=nirpokcode|pEl8X=ajtan_Haq|pEl8X=origtupcls|adset_name=ind37|pEl8X=MI1_HT2|pEl8X=tupmz4el|pEl8X=MI2_HT2|pEl8X=tups111|pEl8X=MI2_Haq|pEl8X=tup5min|pEl8X=tupscdn|pEl8X=szvnknir
wildmaplehouse.com,True,3,unknown,https://wildmaplehouse.com/?pEl8X=origtupcls,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/wildmaplehouse.com/51f6dc6c-5edb-4ac2-bcd6-63254586734f/screenshot/variant-pEl8X-origtupcls.png,pEl8X=origtupcls|pEl8X=tups111|pEl8X=tup5min|pEl8X=tupscdn
willowgardenhouse.com,True,2,unknown,https://willowgardenhouse.com/?pEl8X=tupkapday,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/willowgardenhouse.com/8d9a5fa1-ee0c-4f9f-a7fd-6333cebc4156/screenshot/variant-pEl8X-tupkapday.png,pEl8X=tupkapday|pEl8X=nirpokcode|pEl8X=origtupcls|pEl8X=tupmz4el|pEl8X=tupscdn|pEl8X=szvnknir
xopwsodmrtgv8.com,True,4,mixed,https://xopwsodmrtgv8.com/?pEl8X=ajtan_Haq,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/xopwsodmrtgv8.com/f6aaeef3-be98-4d6a-9669-2a9150cc331d/screenshot/variant-pEl8X-ajtan_Haq.png,pEl8X=ajtan_Haq|pEl8X=MI1_HT2|pEl8X=MI2_HT2|pEl8X=MI2_Haq
yabulnadnepozhdenii.com,True,1,scam,https://yabulnadnepozhdenii.com/?ad_name=ind37,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/yabulnadnepozhdenii.com/e84cc201-66a9-440e-898c-4322c30e84ac/screenshot/variant-ad_name-ind37.png,ad_name=ind37
ybvcinjol.com,True,1,unknown,https://ybvcinjol.com/?pEl8X=tupkapday,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/ybvcinjol.com/bdbb0145-0383-4f85-9439-05757a4294fa/screenshot/variant-pEl8X-tupkapday.png,pEl8X=tupkapday|pEl8X=tupmz4el|pEl8X=szvnknir
yoshp.com,False,0,unknown,https://yoshp.com/,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/yoshp.com/0505e344-f102-4c99-9f03-204eb3615a85/screenshot/full.png,
